,oracle_id,name,name_ja,banned
0,8adbba6e-03ef-4278-aec5-8a4496b377a8,Abandon Hope,断念,False
1,5a70ccfa-d12d-4e62-a1a4-f05cda2fd442,Abandoned Outpost,見捨てられた前哨地,False
2,c208b959-d0e4-4a9a-8255-2c7cc7596767,Abbey Gargoyles,修道院のガーゴイル,False
3,62e3f285-886c-414e-b4ff-403a7c01c23a,Abbey Matron,,False
4,d0e1904e-1a37-41f6-8582-b9ea794bb886,Abduction,誘拐,False
5,6300de53-6e71-4f0e-87e1-b0acd25c59a8,Abeyance,中断,False
6,dd97e457-07eb-4918-b780-ae7ff42a37e7,Abjure,拒絶,False
7,d6d7faa8-ecc9-408b-9c46-a0f62c74f567,Abolish,廃止,False
8,2c57c4e9-0a46-45d6-92db-9203fb722b60,Abomination,忌まわしき者,False
9,28f70f86-19a9-4811-bc10-423a05842d39,Aboroth,アボロス,False
10,95db05eb-2c25-43f2-8e18-dfc64f490634,Aboshan's Desire,アボシャンの願望,False
11,d4d44264-b276-4bd7-8fbe-6af292b08773,"Aboshan, Cephalid Emperor",セファリッドの皇帝アボシャン,False
12,8a810017-06ac-4824-bc2f-a7d303d58ad7,About Face,回れ右,False
13,41785f7b-3d02-4b7f-86ff-b381f626142e,Absolute Grace,絶対の優雅,False
14,f4aa8391-34d5-4ad2-a981-9aa08f8229db,Absolute Law,絶対の法,False
15,132ca99a-a3c7-4ed6-b4d0-0edcd7140ca2,Absorb,吸収,False
16,a2404d88-0621-49ae-9908-052c23a96ac6,Abu Ja'far,アブー・ジャーファル,False
17,eccc9a54-2b56-4a02-9926-258d5b2e25fb,Abundance,豊穣,False
18,4954181c-cb46-4cac-adc3-2c8b7693a211,Abyssal Gatekeeper,深淵の門番,False
19,6b60422a-765b-4168-a37b-68109103385a,Abyssal Horror,深淵の怪物,False
20,b96ccc2f-88e5-4522-924e-76fc76dc3b39,Abyssal Hunter,深淵の狩人,False
21,10733767-1c97-4e2e-b02b-54bf346f6583,Abyssal Nightstalker,深淵の夜魔,False
22,51833cff-6519-4806-8d91-0040e9a02189,Abyssal Specter,深淵の死霊,False
23,e3c85068-b4b6-40b9-a16c-5c3b2d059ec4,Academy Rector,アカデミーの学長,False
24,df2d2c52-475b-4057-9cf8-7886700f0fae,Academy Researchers,アカデミーの研究者,False
25,79189464-9645-4411-8886-68fd40a588ed,Accelerate,加速,False
26,f8a9c279-0f11-4a22-8651-f9caf013ca3c,Accelerated Mutation,促成の突然変異,False
27,2b6d95b5-0680-43ae-9ff3-8e287a9eb837,Acceptable Losses,容認される損失,False
28,1ca25379-d194-4670-a7bf-525ad11cf436,Accumulated Knowledge,蓄積した知識,False
29,b1e6921e-e460-4e58-82b0-d98ee31c279d,Accursed Centaur,呪われたケンタウルス,False
30,bf034a20-e362-4f38-9bf9-857777c62598,Acidic Dagger,酸の短剣,False
